run_accession	sample_accession	country	collection_date	instrument_model	library_strategy	read_count	fastq_ftp
SRR33541287	SAMN48433851	Pakistan:Karachi	2023-02-17	NextSeq 2000	WGS	6304188	ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/087/SRR33541287/SRR33541287_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/087/SRR33541287/SRR33541287_2.fastq.gz
SRR33541295	SAMN48433877	Pakistan:Multan	2023-03-25	NextSeq 2000	WGS	6518788	ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/095/SRR33541295/SRR33541295_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/095/SRR33541295/SRR33541295_2.fastq.gz
SRR33541303	SAMN48433870	Pakistan:Karachi	2023-03-13	NextSeq 2000	WGS	8841368	ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/003/SRR33541303/SRR33541303_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/003/SRR33541303/SRR33541303_2.fastq.gz
SRR33541307	SAMN48433866	Pakistan:Mirpurkhaas	2023-03-11	NextSeq 2000	WGS	6856381	ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/007/SRR33541307/SRR33541307_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/007/SRR33541307/SRR33541307_2.fastq.gz
SRR33541308	SAMN48433909	Pakistan:Karachi	2023-07-06	NextSeq 2000	WGS	8549595	ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/008/SRR33541308/SRR33541308_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/008/SRR33541308/SRR33541308_2.fastq.gz
SRR33541311	SAMN48433906	Pakistan:Karachi	2023-06-24	NextSeq 2000	WGS	7818562	ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/011/SRR33541311/SRR33541311_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/011/SRR33541311/SRR33541311_2.fastq.gz
SRR33541313	SAMN48433904	Pakistan:Hyderabaad	2023-06-20	NextSeq 2000	WGS	7078181	ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/013/SRR33541313/SRR33541313_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/013/SRR33541313/SRR33541313_2.fastq.gz
SRR33541314	SAMN48433850	Pakistan:Karachi	2023-02-17	NextSeq 2000	WGS	4602225	ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/014/SRR33541314/SRR33541314_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/014/SRR33541314/SRR33541314_2.fastq.gz
SRR33541319	SAMN48433899	Pakistan:Hyderabaad	2023-05-31	NextSeq 2000	WGS	7001367	ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/019/SRR33541319/SRR33541319_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/019/SRR33541319/SRR33541319_2.fastq.gz
SRR33541323	SAMN48433895	Pakistan:Karachi	2023-05-29	NextSeq 2000	WGS	6850948	ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/023/SRR33541323/SRR33541323_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/023/SRR33541323/SRR33541323_2.fastq.gz
SRR33541327	SAMN48433863	Pakistan:Quetta	2023-03-05	NextSeq 2000	WGS	5122456	ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/027/SRR33541327/SRR33541327_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/027/SRR33541327/SRR33541327_2.fastq.gz
SRR33541328	SAMN48433862	Pakistan:Hyderabaad	2023-03-10	NextSeq 2000	WGS	7690713	ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/028/SRR33541328/SRR33541328_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/028/SRR33541328/SRR33541328_2.fastq.gz
SRR33541329	SAMN48433861	Pakistan:Hyderabaad	2023-03-04	NextSeq 2000	WGS	7792633	ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/029/SRR33541329/SRR33541329_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/029/SRR33541329/SRR33541329_2.fastq.gz
SRR33541334	SAMN48433856	Pakistan:Quetta	2023-02-24	NextSeq 2000	WGS	6678721	ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/034/SRR33541334/SRR33541334_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/034/SRR33541334/SRR33541334_2.fastq.gz
SRR33541336	SAMN48433959	Pakistan:Hyderabaad	2023-11-02	NextSeq 2000	WGS	278392	ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/036/SRR33541336/SRR33541336_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/036/SRR33541336/SRR33541336_2.fastq.gz
SRR33541342	SAMN48433941	Pakistan:Quetta	2023-09-13	NextSeq 2000	WGS	5109685	ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/042/SRR33541342/SRR33541342_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/042/SRR33541342/SRR33541342_2.fastq.gz
SRR33541343	SAMN48433940	Pakistan:Rawalpindi	2023-09-13	NextSeq 2000	WGS	5115715	ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/043/SRR33541343/SRR33541343_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/043/SRR33541343/SRR33541343_2.fastq.gz
